subject,trial_type,version,turn
1,i_84_a1.4,3,3
2,i_84_a1.4,3,4
14,i_84_a1.4,3,3
22,i_84_a1.4,3,4
23,i_84_a1.4,3,3
26,i_84_a1.4,3,4
32,i_84_a1.4,3,4
41,i_84_a1.4,3,3
46,i_84_a1.4,3,3
47,i_84_a1.4,3,3
48,i_84_a1.4,3,3
52,e_59_a1.4,3,4
52,i_84_a1.4,3,3
71,i_84_a1.4,3,4
78,i_84_a1.4,3,3
81,i_84_a1.4,3,3
82,i_84_a1.4,3,4
88,i_84_a1.4,3,4
89,i_84_a1.4,3,4
95,e_59_a1.4,3,4
98,i_84_a1.4,3,3
112,i_84_a1.4,3,4
116,i_84_a1.4,3,3
117,i_84_a1.4,3,4
124,i_84_a1.4,3,3
135,i_84_a1.4,3,4
152,i_84_a1.4,3,3
155,i_84_a1.4,3,3
162,i_84_a1.4,3,4
168,e_59_a1.4,2,4
171,i_84_a1.4,3,4
176,i_84_a1.4,3,3
179,i_84_a1.4,3,3
181,i_84_a1.4,3,3
182,i_84_a1.4,3,4
190,e_59_a1.4,3,4
195,i_84_a1.4,3,4
196,e_59_a1.4,2,4
208,i_84_a1.4,3,4
209,i_84_a1.4,3,3
213,i_84_a1.4,3,3
217,i_84_a1.4,3,4
234,i_84_a1.4,3,3
236,i_84_a1.4,3,3
238,i_84_a1.4,3,4
240,i_84_a1.4,3,3
241,e_59_a1.4,3,4
241,i_84_a1.4,3,4
248,i_84_a1.4,3,3
257,i_84_a1.4,3,3
261,i_84_a1.4,3,4
271,i_84_a1.4,3,3
273,i_84_a1.4,3,4
274,i_84_a1.4,3,3
275,i_84_a1.4,3,4
277,i_84_a1.4,3,4
278,i_84_a1.4,3,4
286,i_84_a1.4,3,3
288,i_84_a1.4,3,3
290,i_84_a1.4,3,4
303,i_84_a1.4,3,4
318,i_84_a1.4,3,3
319,e_59_a1.4,2,4
319,e_59_a1.4,3,4
319,i_84_a1.4,3,4
320,i_84_a1.4,3,4
327,i_84_a1.4,3,3
329,i_84_a1.4,3,3
330,i_84_a1.4,3,3
333,i_84_a1.4,3,4
334,i_84_a1.4,3,4
336,i_84_a1.4,3,3
339,i_84_a1.4,3,4
347,i_84_a1.4,3,3
350,i_84_a1.4,3,4
351,i_84_a1.4,3,4
352,i_84_a1.4,3,4
353,e_59_a1.4,3,4
355,e_59_a1.4,3,4
356,i_84_a1.4,3,3
